"","","","","","","","","",""
"General Ledger","","","","","","","","",""
"As of January 31, 2025","","","","","","","","",""
"","Type","Date","Num","Name","Memo","Split","Debit","Credit","Balance"
"Checking","","","","","","","","",""
"","Check","01/15/2025","1001","City Power","January electric","Utilities:Electric","","245.80","-245.80"
"","Deposit","01/20/2025","","Acme Corp","Payment received","Accounts Receivable","2,500.00","","2,254.20"
"Total Checking","","","","","","","2,500.00","245.80",""
"Accounts Receivable","","","","","","","","",""
"","Invoice","01/18/2025","2041","Acme Corp","Consulting - January","Consulting Income","2,500.00","","2,500.00"
"","Deposit","01/20/2025","","Acme Corp","Payment received","Checking","","2,500.00","0.00"
"Total Accounts Receivable","","","","","","","2,500.00","2,500.00",""
"Consulting Income","","","","","","","","",""
"","Invoice","01/18/2025","2041","Acme Corp","Consulting - January","Accounts Receivable","","2,500.00","-2,500.00"
"Total Consulting Income","","","","","","","","2,500.00",""
"Utilities:Electric","","","","","","","","",""
"","Check","01/15/2025","1001","City Power","January electric","Checking","245.80","","245.80"
"Total Utilities:Electric","","","","","","","245.80","",""
"TOTAL","","","","","","","5,245.80","5,245.80",""
